x,y,desired_speed
8.261196319759573,-7.598130186723457,2024.478327077573
8.25123529128996,-7.630899201209272,2018.4816165316904
8.23936596368768,-7.666901348575297,2013.1161778089265
8.228429481085467,-7.702277756654757,2008.408035071601
8.21689642874744,-7.737242387808751,2004.3757770070854
8.204875460838732,-7.769810320583173,2001.030556827801
8.191660169172387,-7.80134857676458,1998.3760922712233
8.177629202288959,-7.832929944280636,1996.4086655998774
8.162451237790684,-7.862933133233618,1995.1171236013408
8.147680152588082,-7.891112370424817,1994.4828775882422
8.133564493110077,-7.917192414107795,1994.4799033982629
8.119167382786278,-7.9394108107667485,1995.0747413941347
8.105346177431752,-7.9588325227455785,1996.2264964636418
8.093595044336698,-7.972399990463064,1997.8868380196188
8.08278436985419,-7.9806666474633365,1999.9999999999534
8.074851919637817,-7.998955033220449,1999.9999999999534
8.067643938896943,-8.016349761313812,1999.9999999999534
8.06103922313612,-8.033249198843748,1999.9999999999534
8.051159159683547,-8.048942601337608,1999.9999999999534
8.039451471594484,-8.06385962207286,1999.9999999999534
8.027417421718727,-8.079435892242536,1999.9999999999534
8.015218742449736,-8.09416570365021,1999.9999999999534
8.00170803839561,-8.108812209146093,1999.9999999999534
7.987957867707512,-8.124334283607867,1999.9999999999534
7.973605211469282,-8.141570579093395,1999.9999999999534
7.959847693983652,-8.157720021635392,1999.9999999999534
7.945649868414016,-8.173217277601008,1999.9999999999534
7.930774644242871,-8.18854859793922,1999.9999999999534
7.915862584509371,-8.20446015746145,1999.9999999999534
7.900229898041568,-8.218965216718702,1999.9999999999534
7.885096492514947,-8.234865252998555,1999.9999999999534
7.870540796863263,-8.250181395011374,1999.9999999999534
7.856900162520086,-8.267013324236261,1999.9999999999534
7.8458315868418325,-8.281194697306388,1999.9999999999534
7.833631425905829,-8.296810113461875,1999.9999999999534
7.820426563953183,-8.311732067905716,1999.9999999999534
7.807294604710248,-8.32922685245787,1999.9999999999534
7.797250731776979,-8.347197942557333,1999.9999999999534
7.7873886697465995,-8.36470217821325,1999.9999999999534
7.77792965632796,-8.382920827371548,1999.9999999999534
7.766871955571979,-8.402140507640292,1999.9999999999534
7.752973033267436,-8.419731932826464,1999.9999999999534
7.738688763285974,-8.438213910154682,1999.9999999999534
7.723937253288277,-8.456030324598865,1999.9999999999534
7.7075446030353,-8.474612209633554,1999.9999999999534
7.689843357960378,-8.493696467143234,1999.9999999999534
7.6713266228340995,-8.512514330387,1999.9999999999534
7.653631790344218,-8.533260878801297,1999.9999999999534
7.634463099841065,-8.55486583180993,1999.9999999999534
7.6164549930212395,-8.57615977961728,1999.9999999999534
7.5992035790611085,-8.596802498536432,1999.9999999999534
7.581818591748084,-8.617604363872537,1999.9999999999534
7.562738140292242,-8.639181336051257,1999.9999999999534
7.543865830987727,-8.660188094652229,1999.9999999999534
7.526580992517653,-8.68339826221594,1999.9999999999534
7.509310521853557,-8.706066162894068,1999.9999999999534
7.49300410081315,-8.731084208779968,1999.9999999999534
7.478975112916565,-8.756979527931632,1999.9999999999534
7.464264107611337,-8.783340130019303,1999.9999999999534
7.452936067182555,-8.809850211146713,1999.9999999999534
7.446245080121894,-8.838464291694736,1999.9999999999534
7.442232487308598,-8.867572399937531,1999.9999999999534
7.440462992076767,-8.898431182430652,1999.9999999999534
7.440911988103779,-8.928764828215177,1999.9999999999534
7.443761964060079,-8.960801660365355,1999.9999999999534
7.448252138649302,-8.991664975746701,1999.9999999999534
7.455803001813948,-9.023066806312746,1999.9999999999534
7.465748215209734,-9.052993245950036,1999.9999999999534
7.47467356103612,-9.083655975084957,1999.9999999999534
7.484331805320286,-9.114657579961289,1999.9999999999534
7.493862539923692,-9.144854335415072,1999.486803519015
7.502932031582632,-9.173746597491645,1998.643695014616
7.513441284116312,-9.203678834785299,1997.6413186368225
7.5261055135664785,-9.233476349499709,1996.637678228288
7.5387559881458115,-9.26227062811915,1995.778137324253
7.551893596016592,-9.289611285467178,1995.1954191525472
7.568154462422692,-9.317366370301691,1995.0096066335866
7.584894606290884,-9.345947132799381,1995.3281423803762
7.601249732249459,-9.3717578266324,1996.2458286985072
7.6192227928257,-9.39549402225574,1997.8448275861604
7.636556844170997,-9.41857720410876,2000.1946607341022
7.653767394226212,-9.441736725744846,2003.3522095256887
7.67072399249785,-9.463836850312834,2007.361715036863
7.685515757245457,-9.482813226967856,2012.254778036155
7.700956320180773,-9.502804221239636,2018.0503589846833
7.715758790816584,-9.520645796450241,2024.7547780361547
7.733548142229432,-9.536867431822815,2032.3617150368623
7.751727260658132,-9.55069492541317,2040.852209525688
7.770234523008901,-9.563704829296658,2050.194660734101
7.791397761954675,-9.57562247376758,2060.3448275861588
7.814668718060306,-9.587256390593708,2071.364258655645
7.835901020037422,-9.59852670896932,2083.141135838529
7.8578718227827675,-9.610632327859694,2095.5539177173837
7.8797742493985785,-9.621532602443008,2108.4713395613903
7.9029880214619945,-9.632593062269779,2121.752413326335
7.923170116584558,-9.641537809937768,2135.2464276546093
7.944779457089988,-9.651410918293447,2148.792947875211
7.967666846027999,-9.661925969090621,2162.2218160037455
7.9900656456056875,-9.674800215460243,2175.3531507424213
8.012599969432678,-9.687475882794836,2187.9973474800554
8.033646014506184,-9.70023781139933,2199.9550782920683
8.054497893471268,-9.71371451284985,2211.726413186317
8.076630103321428,-9.727913870535666,2223.3011426837384
8.098120194916177,-9.743188199531652,2234.671974299286
8.118866474384442,-9.759858959212197,2245.834532541933
